AXISBANK,EQ,451.5,451.55,442.1,444.75,445.2,449.9,5347581,2384297753.8,04-APR-2016,71535,INE238A01034,
AXISCADES,EQ,289.95,297,277.1,279.75,281,288.05,232903,66862306.05,04-APR-2016,5782,INE555B01013,
AXISGOLD,EQ,2597,2599,2566,2575.05,2575.05,2584.15,114,294613.3,04-APR-2016,48,INF846K01347,
AYMSYNTEX,EQ,103,103.5,100,101.55,102,101.85,10782,1095060,04-APR-2016,153,INE193B01039,
BAFNAPHARM,EQ,30.25,31.7,30.1,30.95,31.2,30.25,49146,1522331.45,04-APR-2016,429,INE878I01014,
BAGFILMS,EQ,4.2,4.55,4.2,4.35,4.35,4.3,214322,934369.95,04-APR-2016,343,INE116D01028,
BAJAJ-AUTO,EQ,2430,2477.7,2427.2,2448.25,2444.65,2419.85,188472,461779419.5,04-APR-2016,14161,INE917I01010,
BAJAJCORP,EQ,381.5,391.7,381.5,389.85,389,384.1,13168,5115049.65,04-APR-2016,1800,INE933K01021,
BAJAJELEC,EQ,199,208.75,195.8,206.95,206.7,198.8,628260,129102489.45,04-APR-2016,17441,INE193E01025,
BAJAJFINSV,EQ,1762,1763.95,1747.5,1751.3,1750,1746.75,36360,63760872.3,04-APR-2016,2360,INE918I01018,
BAJAJHIND,EQ,20.6,21.35,20.35,20.55,20.55,20.6,4289956,89074357,04-APR-2016,7359,INE306A01021,
BAJAJHLDNG,EQ,1482,1493.7,1450,1474.65,1466.7,1482.35,5136,7553345,04-APR-2016,973,INE118A01012,
BAJFINANCE,EQ,6900,6962.8,6832.3,6869.7,6836.2,6877.5,63385,436885173.9,04-APR-2016,11626,INE296A01016,
BALAJITELE,EQ,110,116,110,113.45,113.7,110.65,244008,27825562.35,04-APR-2016,2356,INE794B01026,
BALAMINES,EQ,178,182,175,175.55,175,177.3,26434,4700510.4,04-APR-2016,511,INE050E01027,
BALKRISIND,EQ,628.5,636,623.4,632.35,632,632.2,10792,6822918.1,04-APR-2016,564,INE787D01026,
BALLARPUR,EQ,13.9,16,13.5,15.7,16,13.7,7407519,107618202.75,04-APR-2016,8124,INE294A01037,
BALMLAWRIE,EQ,568,575.9,565,572.6,573.9,569.7,6279,3586750.6,04-APR-2016,545,INE164A01016,
BALPHARMA,EQ,106.4,109.55,105.55,107.6,108,105.1,150190,16167315.1,04-APR-2016,1827,INE083D01012,
BALRAMCHIN,EQ,109.7,111.9,107.5,107.85,107.9,109.35,2949945,321467964.55,04-APR-2016,23679,INE119A01028,
BANARBEADS,EQ,45,46,42.55,45.95,46,46,457,20592.95,04-APR-2016,12,INE655B01011,
BANARISUG,EQ,1549,1574.8,1491,1501.2,1502,1510.9,2438,3729660.5,04-APR-2016,306,INE459A01010,
